# z        k [h/Mpc]   P(k) [(Mpc/h)^3]    Delta^2(k)   
3.000     0.015707963       946.30575   0.00018580670
3.000     0.031415927       2337.2915    0.0036714089
3.000     0.047123890       1197.0814    0.0063462522
3.000     0.062831853       1016.1228     0.012768976
3.000     0.078539816       782.68622     0.019210010
3.000     0.094247780       594.21821     0.025201686
3.000      0.10995574       480.04847     0.032330253
3.000      0.12566371       437.76619     0.044009057
3.000      0.14137167       319.22483     0.045693464
3.000      0.15707963       274.89648     0.053975798
3.000      0.17278760       237.61420     0.062098389
3.000      0.18849556       218.89360     0.074268847
3.000      0.20420352       195.02556     0.084130114
3.000      0.21991149       172.09636     0.092722619
3.000      0.23561945       149.15617     0.098842768
3.000      0.25132741       138.50817      0.11139488
3.000      0.26703538       120.56100      0.11630101
3.000      0.28274334       107.98179      0.12365109
3.000      0.29845130       96.605706      0.13010484
3.000      0.31415927       87.607926      0.13761421
3.000      0.32986723       80.830185      0.14698105
3.000      0.34557519       72.935552      0.15248854
3.000      0.36128316       68.774572      0.16430141
3.000      0.37699112       62.328836      0.16918141
3.000      0.39269908       58.453210      0.17933220
3.000      0.40840704       55.486246      0.19148523
3.000      0.42411501       51.342566      0.19842608
3.000      0.43982297       48.443309      0.20880351
3.000      0.45553093       44.868242      0.21486365
3.000      0.47123890       42.528563      0.22546252
3.000      0.48694686       39.121169      0.22883729
3.000      0.50265482       37.558946      0.24165357
3.000      0.51836279       35.282021      0.24895747
3.000      0.53407075       33.588478      0.25921311
3.000      0.54977871       31.995189      0.26935106
3.000      0.56548668       30.774189      0.28191878
3.000      0.58119464       28.794587      0.28638213
3.000      0.59690260       27.351584      0.29468848
3.000      0.61261057       26.120218      0.30422893
3.000      0.62831853       24.830191      0.31202539
3.000      0.64402649       23.695260      0.32065864
3.000      0.65973446       22.404241      0.32591774
3.000      0.67544242       21.914413      0.34210947
3.000      0.69115038       21.018312      0.35154890
3.000      0.70685835       20.455558      0.36599804
3.000      0.72256631       19.076215      0.36458232
3.000      0.73827427       18.750677      0.38224377
3.000      0.75398224       17.979250      0.39041382
3.000      0.76969020       17.514042      0.40458009
3.000      0.78539816       16.735605      0.41075354
3.000      0.80110613       16.162315      0.42096305
3.000      0.81681409       15.617583      0.43117518
3.000      0.83252205       15.007721      0.43870465
3.000      0.84823002       14.596840      0.45130486
3.000      0.86393798       14.058872      0.45927036
3.000      0.87964594       13.579183      0.46823902
3.000      0.89535391       13.206774      0.48023212
3.000      0.91106187       12.921382      0.49502009
3.000      0.92676983       12.357761      0.49833998
3.000      0.94247780       11.949134      0.50678071
3.000      0.95818576       11.643110      0.51890566
3.000      0.97389372       11.452549      0.53592882
3.000      0.98960169       11.111526      0.54553832
3.000       1.0053096       10.745623      0.55309716
3.000       1.0367256       10.401185      0.58714384
3.000       1.0681415       9.5509923      0.58966469
3.000       1.0995574       9.2713263      0.62440429
3.000       1.1309734       8.6028550      0.63047806
3.000       1.1623893       8.2486620      0.65630930
3.000       1.1938052       8.0271111      0.69187867
3.000       1.2252211       7.6950620      0.71701100
3.000       1.2566371       7.3696723      0.74088027
3.000       1.2880530       7.0197694      0.75996623
3.000       1.3194689       6.6974099      0.77942553
3.000       1.3508848       6.5405461      0.81684425
3.000       1.3823008       6.2619322      0.83788857
3.000       1.4137167       6.1109684      0.87471677
3.000       1.4451326       5.7629169      0.88112137
3.000       1.4765485       5.5449289      0.90429354
3.000       1.5079645       5.4983063      0.95515206
3.000       1.5393804       5.2433395      0.96898287
3.000       1.5707963       5.1106393       1.0034717
3.000       1.6022123       4.8625892       1.0132065
3.000       1.6336282       4.6951239       1.0369957
3.000       1.6650441       4.5625698       1.0669818
3.000       1.6964600       4.4966598       1.1122212
3.000       1.7278760       4.3951002       1.1486209
3.000       1.7592919       4.2042162       1.1597623
3.000       1.7907078       4.1411421       1.2046602
3.000       1.8221237       3.9981076       1.2253449
3.000       1.8535397       3.9038864       1.2594273
3.000       1.8849556       3.7875872       1.2850981
3.000       1.9163715       3.6809926       1.3124245
3.000       1.9477874       3.6143039       1.3530680
3.000       1.9792034       3.4893429       1.3705194
3.000       2.0106193       3.4165335       1.4068425
3.000       2.0734512       3.1997530       1.4450010
3.000       2.1362830       3.1639867       1.5627204
3.000       2.1991149       2.9863961       1.6090199
3.000       2.2619467       2.8484002       1.6700073
3.000       2.3247786       2.7850513       1.7727530
3.000       2.3876104       2.6204789       1.8069300
3.000       2.4504423       2.5217723       1.8797910
3.000       2.5132741       2.4465400       1.9676242
3.000       2.5761060       2.3568269       2.0412167
3.000       2.6389378       2.2507333       2.0954716
3.000       2.7017697       2.1660100       2.1640919
3.000       2.7646015       2.1527499       2.3044191
3.000       2.8274334       2.0412542       2.3374617
3.000       2.8902652       2.0035623       2.4506777
3.000       2.9530971       1.9100827       2.4920434
3.000       3.0159289       1.8903560       2.6271035
3.000       3.0787608       1.7974275       2.6573544
3.000       3.1415927       1.7670749       2.7757147
3.000       3.2044245       1.7237782       2.8734376
3.000       3.2672564       1.6758975       2.9611974
3.000       3.3300882       1.6088137       3.0098387
3.000       3.3929201       1.5592559       3.0853792
3.000       3.4557519       1.5279360       3.1945015
3.000       3.5185838       1.5204886       3.3554989
3.000       3.5814156       1.4434045       3.3590964
3.000       3.6442475       1.4255048       3.4951236
3.000       3.7070793       1.3869162       3.5794486
3.000       3.7699112       1.3722406       3.7247222
3.000       3.8327430       1.3303491       3.7945911
3.000       3.8955749       1.2936970       3.8745164
3.000       3.9584067       1.2729098       3.9997158
3.000       4.0212386       1.2387001       4.0805241
3.000       4.1469023       1.1875065       4.2902013
3.000       4.2725660       1.1502855       4.5450874
3.000       4.3982297       1.0928388       4.7104251
3.000       4.5238934       1.0538552       4.9429735
3.000       4.6495571       1.0108654       5.1475235
3.000       4.7752208      0.96111738       5.3018455
3.000       4.9008845      0.95542263       5.6975638
3.000       5.0265482      0.90467915       5.8206891
3.000       5.1522120      0.86444579       5.9894809
3.000       5.2778757      0.84185257       6.2702342
3.000       5.4035394      0.81075982       6.4803347
3.000       5.5292031      0.77941773       6.6746449
3.000       5.6548668      0.76543865       7.0120948
3.000       5.7805305      0.74197985       7.2604821
3.000       5.9061942      0.72174570       7.5331676
3.000       6.0318579      0.70525685       7.8409895
3.000       6.1575216      0.68040605       8.0474124
3.000       6.2831853      0.66032986       8.2979497
3.000       6.4088490      0.63234291       8.4326297
3.000       6.5345127      0.61461380       8.6878475
