# z        k [h/Mpc]   P(k) [(Mpc/h)^3]    Delta^2(k)   
3.000     0.015707963       1092.7205   0.00021455516
3.000     0.031415927       2580.4817    0.0040534112
3.000     0.047123890       1309.1206    0.0069402214
3.000     0.062831853       1111.6216     0.013969049
3.000     0.078539816       827.83329     0.020318086
3.000     0.094247780       619.37632     0.026268679
3.000      0.10995574       509.97433     0.034345696
3.000      0.12566371       463.70321     0.046616531
3.000      0.14137167       328.26543     0.046987525
3.000      0.15707963       282.07839     0.055385963
3.000      0.17278760       249.54394     0.065216124
3.000      0.18849556       228.21188     0.077430468
3.000      0.20420352       198.15364     0.085479504
3.000      0.21991149       175.47677     0.094543927
3.000      0.23561945       154.40517      0.10232117
3.000      0.25132741       142.94540      0.11496352
3.000      0.26703538       122.47218      0.11814466
3.000      0.28274334       109.98500      0.12594498
3.000      0.29845130       99.161557      0.13354697
3.000      0.31415927       89.724473      0.14093887
3.000      0.32986723       82.098765      0.14928783
3.000      0.34557519       74.033201      0.15478343
3.000      0.36128316       70.148935      0.16758474
3.000      0.37699112       63.490358      0.17233417
3.000      0.39269908       59.306959      0.18195147
3.000      0.40840704       56.264453      0.19417085
3.000      0.42411501       52.121600      0.20143685
3.000      0.43982297       49.106013      0.21165993
3.000      0.45553093       45.551609      0.21813613
3.000      0.47123890       43.099885      0.22849135
3.000      0.48694686       39.638007      0.23186051
3.000      0.50265482       38.045645      0.24478499
3.000      0.51836279       35.725343      0.25208564
3.000      0.53407075       33.988556      0.26230064
3.000      0.54977871       32.400243      0.27276101
3.000      0.56548668       31.121254      0.28509820
3.000      0.58119464       29.148613      0.28990316
3.000      0.59690260       27.655456      0.29796243
3.000      0.61261057       26.401533      0.30750547
3.000      0.62831853       25.123360      0.31570945
3.000      0.64402649       23.968490      0.32435614
3.000      0.65973446       22.648565      0.32947195
3.000      0.67544242       22.159065      0.34592877
3.000      0.69115038       21.239069      0.35524125
3.000      0.70685835       20.677778      0.36997409
3.000      0.72256631       19.291326      0.36869348
3.000      0.73827427       18.953214      0.38637260
3.000      0.75398224       18.176680      0.39470094
3.000      0.76969020       17.695557      0.40877317
3.000      0.78539816       16.913539      0.41512070
3.000      0.80110613       16.313155      0.42489184
3.000      0.81681409       15.778820      0.43562664
3.000      0.83252205       15.154745      0.44300245
3.000      0.84823002       14.718790      0.45507533
3.000      0.86393798       14.201623      0.46393372
3.000      0.87964594       13.720672      0.47311786
3.000      0.89535391       13.321740      0.48441258
3.000      0.91106187       13.042036      0.49964239
3.000      0.92676983       12.482575      0.50337320
3.000      0.94247780       12.064113      0.51165713
3.000      0.95818576       11.736069      0.52304860
3.000      0.97389372       11.559244      0.54092169
3.000      0.98960169       11.204619      0.55010884
3.000       1.0053096       10.849122      0.55842444
3.000       1.0367256       10.496274      0.59251159
3.000       1.0681415       9.6240132      0.59417290
3.000       1.0995574       9.3432563      0.62924862
3.000       1.1309734       8.6639964      0.63495894
3.000       1.1623893       8.3140684      0.66151339
3.000       1.1938052       8.0798051      0.69642051
