# z        k [h/Mpc]   P(k) [(Mpc/h)^3]    Delta^2(k)   
3.000     0.015707963       30.771461   6.0419623e-06
3.000     0.031415927       73.034217   0.00011472188
3.000     0.047123890       37.145323   0.00019692361
3.000     0.062831853       31.551334   0.00039648576
3.000     0.078539816       23.525164   0.00057739439
3.000     0.094247780       17.634413   0.00074790194
3.000      0.10995574       14.513960   0.00097748462
3.000      0.12566371       13.194529    0.0013264587
3.000      0.14137167       9.3535929    0.0013388622
3.000      0.15707963       8.0469615    0.0015800172
3.000      0.17278760       7.1116859    0.0018585768
3.000      0.18849556       6.5061187    0.0022074741
3.000      0.20420352       5.6527165    0.0024384685
3.000      0.21991149       5.0083914    0.0026984369
3.000      0.23561945       4.4053357    0.0029193265
3.000      0.25132741       4.0785084    0.0032801311
3.000      0.26703538       3.4970020    0.0033734364
3.000      0.28274334       3.1401721    0.0035958441
3.000      0.29845130       2.8291002    0.0038101232
3.000      0.31415927       2.5617228    0.0040239447
3.000      0.32986723       2.3440644    0.0042624305
3.000      0.34557519       2.1130616    0.0044178410
3.000      0.36128316       2.0030755    0.0047853171
3.000      0.37699112       1.8128292    0.0049206276
3.000      0.39269908       1.6930154    0.0051941063
3.000      0.40840704       1.6063862    0.0055437022
3.000      0.42411501       1.4879075    0.0057503875
3.000      0.43982297       1.4006992    0.0060373848
3.000      0.45553093       1.3000678    0.0062257246
3.000      0.47123890       1.2290611    0.0065157907
3.000      0.48694686       1.1302710    0.0066114630
3.000      0.50265482       1.0847384    0.0069791871
3.000      0.51836279       1.0186010    0.0071874659
3.000      0.53407075      0.96892908    0.0074775380
3.000      0.54977871      0.92357692    0.0077751199
3.000      0.56548668      0.88687309    0.0081245417
3.000      0.58119464      0.83072963    0.0082621821
3.000      0.59690260      0.78752128    0.0084848267
3.000      0.61261057      0.75164035    0.0087545494
3.000      0.62831853      0.71510342    0.0089862546
3.000      0.64402649      0.68214399    0.0092311863
3.000      0.65973446      0.64414099    0.0093704123
3.000      0.67544242      0.62987735    0.0098331179
3.000      0.69115038      0.60389731     0.010100689
3.000      0.70685835      0.58745147     0.010510889
3.000      0.72256631      0.54766596     0.010466926
3.000      0.73827427      0.53814774     0.010970464
3.000      0.75398224      0.51564294     0.011197026
3.000      0.76969020      0.50206776     0.011597930
3.000      0.78539816      0.47944239     0.011767287
3.000      0.80110613      0.46213083     0.012036642
3.000      0.81681409      0.44654617     0.012328388
3.000      0.83252205      0.42902640     0.012541270
3.000      0.84823002      0.41641808     0.012874807
3.000      0.86393798      0.40161070     0.013119680
3.000      0.87964594      0.38797310     0.013378135
3.000      0.89535391      0.37619926     0.013679568
3.000      0.91106187      0.36804618     0.014099905
