x	y
-3.998	-0.421
-3.917	-0.423
-3.836	-0.423
-3.754	-0.426
-3.670	-0.430
-3.586	-0.432
-3.503	-0.432
-3.421	-0.435
-3.340	-0.438
-3.256	-0.440
-3.174	-0.445
-3.090	-0.446
-3.009	-0.456
-2.927	-0.458
-2.844	-0.462
-2.760	-0.468
-2.676	-0.476
-2.595	-0.480
-2.509	-0.486
-2.428	-0.497
-2.345	-0.503
-2.264	-0.512
-2.179	-0.522
-2.098	-0.533
-2.015	-0.546
-1.933	-0.557
-1.850	-0.568
-1.769	-0.590
-1.684	-0.605
-1.601	-0.627
-1.517	-0.648
-1.436	-0.677
-1.353	-0.701
-1.271	-0.737
-1.187	-0.770
-1.104	-0.814
-1.024	-0.855
-0.939	-0.904
-0.858	-0.964
-0.817	-0.985
-0.774	-1.025
-0.736	-1.059
-0.691	-1.093
-0.651	-1.127
-0.609	-1.170
-0.569	-1.215
-0.525	-1.251
-0.483	-1.307
-0.443	-1.354
-0.401	-1.413
-0.361	-1.478
-0.319	-1.536
-0.274	-1.616
-0.261	-1.646
-0.250	-1.679
-0.237	-1.707
-0.220	-1.745
-0.198	-1.796
-0.183	-1.833
-0.167	-1.894
-0.152	-1.950
-0.132	-1.988
