x	y
-3.996	-0.895
-3.957	-0.894
-3.917	-0.887
-3.832	-0.880
-3.749	-0.871
-3.668	-0.861
-3.589	-0.852
-3.503	-0.842
-3.420	-0.826
-3.340	-0.811
-3.256	-0.802
-3.173	-0.784
-3.089	-0.774
-3.007	-0.748
-2.926	-0.735
-2.843	-0.719
-2.797	-0.712
-2.756	-0.699
-2.675	-0.678
-2.596	-0.658
-2.510	-0.640
-2.427	-0.615
-2.348	-0.594
-2.265	-0.573
-2.182	-0.546
-2.097	-0.522
-2.019	-0.498
-1.934	-0.469
-1.849	-0.448
-1.768	-0.416
-1.684	-0.393
-1.599	-0.361
-1.521	-0.335
-1.436	-0.308
-1.353	-0.282
-1.271	-0.254
-1.189	-0.229
-1.103	-0.199
-1.022	-0.179
-0.944	-0.155
-0.856	-0.131
-0.776	-0.112
-0.690	-0.093
-0.610	-0.078
-0.528	-0.064
-0.488	-0.057
-0.404	-0.042
-0.318	-0.033
-0.275	-0.025
-0.236	-0.022
-0.182	-0.016
-0.115	-0.011
-0.051	-0.006
-0.007	-5.476e-4
