x	y
-3.996	-0.406
-3.918	-0.408
-3.836	-0.410
-3.750	-0.410
-3.666	-0.412
-3.585	-0.410
-3.506	-0.413
-3.422	-0.413
-3.336	-0.413
-3.254	-0.415
-3.170	-0.416
-3.087	-0.420
-3.008	-0.417
-2.922	-0.425
-2.840	-0.427
-2.757	-0.428
-2.677	-0.432
-2.593	-0.435
-2.508	-0.443
-2.429	-0.446
-2.345	-0.453
-2.264	-0.461
-2.181	-0.468
-2.097	-0.479
-2.013	-0.486
-1.932	-0.501
-1.848	-0.512
-1.767	-0.527
-1.686	-0.544
-1.603	-0.564
-1.518	-0.586
-1.437	-0.609
-1.352	-0.638
-1.270	-0.670
-1.187	-0.703
-1.107	-0.748
-1.023	-0.786
-0.938	-0.835
-0.898	-0.858
-0.858	-0.895
-0.816	-0.915
-0.776	-0.951
-0.734	-0.987
-0.691	-1.023
-0.649	-1.052
-0.607	-1.101
-0.568	-1.141
-0.526	-1.174
-0.483	-1.224
-0.445	-1.275
-0.402	-1.335
-0.361	-1.387
-0.320	-1.450
-0.278	-1.508
-0.261	-1.557
-0.241	-1.588
-0.232	-1.615
-0.207	-1.657
-0.198	-1.689
-0.175	-1.738
-0.158	-1.774
-0.141	-1.828
-0.123	-1.874
-0.106	-1.928
-0.099	-1.970
-0.092	-1.997
